ROHIT,R
KISHAN,L
KOHLI,R
PANT,L
SURYAKUMAR,R
SUNDAR,L
HOODA,R
SHARDUL,R
SIRAJ,R
CHAHAL,R
KRISHNA,R
HOPE,R
KING,R
DM BRAVO,L
BROOKS,R
POORAN,L
HOLDER,R
POLLARD,R
HOSEIN,L
ALLEN,R
JOSEPH,R
ROACH,R
SHIKHAR,L
KL RAHUL,R
SHAHRUKH,R
KULDEEP,L
DILSHAN,R
K AKMAL,R
THARANGA,R
